date,timestamp,,error_message,elapsed,credit_count,notice,total_count,id,name,symbol,slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data > platform > token_address,data > cmc_rank,last_updated,price_usd,volume_24h,,,,,,,,,,,,
,,,,,,,,5426,Solana,SOL,solana,421,2020-04-10T00:00:00.000Z,pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okex-blockdream-ventures-portfolio,,,,,,,,,,,,,,,,,,,,,,370621846.3,538569237.1,,,,,,,11,,,,2023-01-14T18:09:00.000Z,22.99465984,3370613717,323.7399,0.43365766,36.36363395,73.98594131,64.84388707,59.22280811,-23.04074355,8522323285,0.8731,12384216404,,2023-01-14T18:09:00.000Z
,,,,,,,,6636,Polkadot,DOT,polkadot-new,457,2020-08-19T00:00:00.000Z,substrate,polkadot,binance-chain,polkadot-ecosystem,three-arrows-capital-portfolio,polychain-capital-portfolio,arrington-xrp-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,coinfund-portfolio,fabric-ventures-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,web3,spartan-group,injective-ecosystem,bnb-chain,,,,,,,1155537101,1271760771,,,,,,,12,904869778,5457696732,,2023-01-14T18:09:00.000Z,6.031472003,631617386.7,264.5469,-0.95356225,14.79687467,29.82313493,16.3230791,0.34008689,-1.76417833,6969589674,0.714,7670589487,,2023-01-14T18:09:00.000Z
,,,,,,,,2,Litecoin,LTC,litecoin,869,2013-04-28T00:00:00.000Z,mineable,pow,scrypt,medium-of-exchange,,,,,,,,,,,,,,,,,,,,,,,,,84000000,72052441.72,84000000,,,,,,,13,,,,2023-01-14T18:09:00.000Z,87.57723223,1317389034,88.765,-0.66941008,4.07759745,14.99729139,19.63203438,47.8219279,71.84345705,6310153421,0.6462,7356487507,,2023-01-14T18:09:00.000Z
,,,,,,,,4943,Dai,DAI,multi-collateral-dai,1787,2019-11-22T00:00:00.000Z,defi,stablecoin,asset-backed-stablecoin,ethereum-ecosystem,avalanche-ecosystem,polygon-ecosystem,fantom-ecosystem,arbitrum-ecosytem,harmony-ecosystem,moonriver-ecosystem,bnb-chain,usd-stablecoin,,,,,,,,,,,,,,,,,,5831141793,5831141793,,1027,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,14,,,,2023-01-14T18:09:00.000Z,1.000046658,286794760.8,56.582,-0.01617807,0.02845687,0.02436961,0.05977294,-0.08513946,0.032573,5831413862,0.5974,5831413862,,2023-01-14T18:09:00.000Z
,,,,,,,,1958,TRON,TRX,tron,720,2017-09-13T00:00:00.000Z,media,payments,tron-ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,,91890029425,91890092537,,,,,,,15,71659659264,4413914224,,2023-01-14T18:09:00.000Z,0.06159552347,599793765.4,180.4658,-0.30565542,6.68747959,19.31460657,10.43680555,20.57341346,0.44605284,5660014464,0.5798,5660018352,,2023-01-14T18:09:00.000Z
,,,,,,,,5994,Shiba Inu,SHIB,shiba-inu,479,2020-08-01T00:00:00.000Z,memes,ethereum-ecosystem,doggone-doggerel,,,,,,,,,,,,,,,,,,,,,,,,,,,549063278876302,589735030408323,,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,16,,,,2023-01-14T18:09:00.000Z,0.00001028415132,666560077.6,130.5721,-0.09536965,6.68594884,22.05190057,16.41833145,9.47630833,0.8885306,5646649843,0.5785,6064924290,,2023-01-14T18:09:00.000Z
,,,,,,,,5805,Avalanche,AVAX,avalanche,362,2020-07-13T00:00:00.000Z,defi,smart-contracts,three-arrows-capital-portfolio,polychain-capital-portfolio,avalanche-ecosystem,cms-holdings-portfolio,dragonfly-capital-portfolio,moonriver-ecosystem,injective-ecosystem,,,,,,,,,,,,,,,,,,,,720000000,311582142.7,416988132.7,,,,,,,17,,,,2023-01-14T18:09:00.000Z,16.94877636,1154154063,120.8933,-0.04269505,8.87784185,45.19044707,27.51621364,22.40134536,8.83846329,5280936054,0.5408,12203118977,,2023-01-14T18:09:00.000Z
,,,,,,,,7083,Uniswap,UNI,uniswap,600,2020-09-17T00:00:00.000Z,decentralized-exchange-dex-token,defi,dao,yield-farming,amm,coinbase-ventures-portfolio,three-arrows-capital-portfolio,governance,blockchain-capital-portfolio,defiance-capital-portfolio,alameda-research-portfolio,a16z-portfolio,pantera-capital-portfolio,parafi-capital,paradigm-portfolio,arbitrum-ecosytem,injective-ecosystem,,,,,,,,,,,,1000000000,762209326.5,1000000000,,1027,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18,,,1.34649836,2023-01-14T18:09:00.000Z,6.564034783,251411907.9,157.0554,-0.23030147,7.06543728,21.05680111,11.58591805,2.88381471,8.86872756,5003168531,0.5126,6564034783,3715688533,2023-01-14T18:09:00.000Z
,,,,,,,,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,839,2019-01-30T00:00:00.000Z,medium-of-exchange,defi,wrapped-tokens,fantom-ecosystem,arbitrum-ecosytem,moonriver-ecosystem,,,,,,,,,,,,,,,,,,,,,,,,183148.1814,183148.1814,,1027,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,19,,,,2023-01-14T18:09:00.000Z,20759.0607,338458463.3,100.2828,-0.02537135,8.0019658,22.80493581,19.29576248,22.50327014,8.51270663,3801984214,0.3895,3801984214,,2023-01-14T18:09:00.000Z
,,,,,,,,3794,Cosmos,ATOM,cosmos,387,2019-03-14T00:00:00.000Z,platform,cosmos-ecosystem,content-creation,interoperability,polychain-capital-portfolio,dragonfly-capital-portfolio,hashkey-capital-portfolio,1confirmation-portfolio,paradigm-portfolio,exnetwork-capital-portfolio,injective-ecosystem,,,,,,,,,,,,,,,,,,,286370297,0,,,,,,,20,,,,2023-01-14T18:09:00.000Z,12.73706811,361677575.5,113.5945,0.30830128,6.06916487,24.80604977,33.27759658,18.63900508,10.52235095,3647517978,0.3737,0,,2023-01-14T18:09:00.000Z
